Episode,Score,Total Steps,Death,Epsilon
1, 0, 13, Status.WALL, 1.0
2, 0, 17, Status.WALL, 0.995
3, 0, 9, Status.WALL, 0.990025
4, 0, 18, Status.WALL, 0.985074875
5, 0, 6, Status.WALL, 0.9801495006250001
6, 0, 7, Status.WALL, 0.9752487531218751
7, 0, 9, Status.WALL, 0.9703725093562657
8, 0, 7, Status.WALL, 0.9655206468094844
9, 0, 24, Status.WALL, 0.960693043575437
10, 0, 5, Status.WALL, 0.9558895783575597
11, 0, 15, Status.WALL, 0.9511101304657719
12, 1, 24, Status.WALL, 0.946354579813443
13, 0, 14, Status.WALL, 0.9416228069143757
14, 0, 36, Status.WALL, 0.9369146928798039
15, 2, 13, Status.WALL, 0.9322301194154049
16, 0, 24, Status.WALL, 0.9275689688183278
17, 0, 10, Status.WALL, 0.9229311239742362
18, 0, 15, Status.WALL, 0.918316468354365
19, 0, 5, Status.WALL, 0.9137248860125932
20, 0, 6, Status.WALL, 0.9091562615825302
21, 0, 6, Status.WALL, 0.9046104802746175
22, 0, 6, Status.WALL, 0.9000874278732445
23, 0, 17, Status.WALL, 0.8955869907338783
24, 0, 22, Status.WALL, 0.8911090557802088
25, 0, 6, Status.WALL, 0.8866535105013078
26, 0, 8, Status.WALL, 0.8822202429488013
27, 1, 40, Status.SNAKE, 0.8778091417340573
28, 1, 29, Status.WALL, 0.8734200960253871
29, 0, 18, Status.WALL, 0.8690529955452602
30, 0, 15, Status.WALL, 0.8647077305675338
31, 1, 28, Status.SNAKE, 0.8603841919146962
32, 0, 34, Status.WALL, 0.8560822709551227
33, 1, 17, Status.WALL, 0.851801859600347
34, 0, 17, Status.WALL, 0.8475428503023453
35, 0, 4, Status.WALL, 0.8433051360508336
36, 0, 12, Status.WALL, 0.8390886103705794
37, 0, 8, Status.WALL, 0.8348931673187264
38, 1, 12, Status.WALL, 0.8307187014821328
39, 0, 6, Status.WALL, 0.8265651079747222
40, 1, 9, Status.WALL, 0.8224322824348486
41, 0, 7, Status.WALL, 0.8183201210226743
42, 0, 8, Status.WALL, 0.8142285204175609
43, 0, 8, Status.WALL, 0.810157377815473
44, 0, 21, Status.WALL, 0.8061065909263957
45, 0, 26, Status.WALL, 0.8020760579717637
46, 1, 14, Status.WALL, 0.798065677681905
47, 0, 44, Status.WALL, 0.7940753492934954
48, 0, 16, Status.WALL, 0.7901049725470279
49, 0, 18, Status.WALL, 0.7861544476842928
50, 0, 7, Status.WALL, 0.7822236754458713
51, 0, 12, Status.WALL, 0.778312557068642
