Episode,Score,Total Steps,Death
1,0,15,WALL
2,0,6,WALL
3,0,6,WALL
4,0,1,SNAKE
5,0,9,WALL
6,0,25,WALL
7,0,9,WALL
8,0,27,WALL
9,0,7,WALL
10,0,1,SNAKE
11,0,5,WALL
12,0,1,SNAKE
13,0,1,SNAKE
14,0,1,SNAKE
15,0,1,SNAKE
16,0,20,WALL
17,0,17,WALL
18,0,15,WALL
19,0,22,WALL
20,0,28,WALL
21,0,41,WALL
22,0,13,WALL
23,0,13,WALL
24,0,1,SNAKE
25,0,16,WALL
26,0,49,WALL
27,0,11,WALL
28,0,6,WALL
29,0,9,WALL
30,0,12,WALL
31,0,1,SNAKE
32,1,19,WALL
33,0,19,WALL
34,1,15,WALL
35,0,20,WALL
36,0,9,WALL
37,0,17,WALL
38,0,10,WALL
39,0,1,SNAKE
40,0,1,SNAKE
41,0,7,WALL
42,0,8,WALL
43,1,12,WALL
44,1,29,SNAKE
45,0,23,WALL
46,0,19,WALL
47,1,11,WALL
48,1,6,SNAKE
49,0,1,SNAKE
50,1,12,WALL
51,0,1,SNAKE
52,0,16,WALL
53,2,22,WALL
54,0,1,SNAKE
55,0,18,WALL
56,0,24,WALL
57,0,1,SNAKE
58,0,16,WALL
59,0,1,SNAKE
60,0,1,SNAKE
61,0,46,WALL
62,0,24,WALL
63,0,6,WALL
64,0,1,SNAKE
65,0,15,WALL
66,0,1,SNAKE
67,0,12,WALL
68,0,14,WALL
69,0,19,WALL
70,0,1,SNAKE
71,0,1,SNAKE
72,0,7,WALL
73,0,7,WALL
74,0,15,WALL
75,0,11,WALL
76,0,6,WALL
77,0,44,WALL
78,0,8,WALL
79,1,48,SNAKE
80,0,1,SNAKE
81,0,1,SNAKE
82,0,7,WALL
83,0,5,WALL
84,0,10,WALL
85,0,11,WALL
86,0,19,WALL
87,0,12,WALL
88,1,7,SNAKE
89,0,1,SNAKE
90,0,9,WALL
91,0,1,SNAKE
92,0,1,SNAKE
93,0,1,SNAKE
94,0,1,SNAKE
95,0,7,WALL
96,0,1,SNAKE
97,0,4,WALL
98,0,1,SNAKE
99,0,5,WALL
100,0,1,SNAKE
101,0,1,SNAKE
102,0,16,WALL
103,0,1,SNAKE
104,0,14,WALL
105,0,1,SNAKE
106,1,9,WALL
107,0,8,WALL
108,0,6,WALL
109,0,1,SNAKE
110,0,1,SNAKE
111,0,9,WALL
112,0,1,SNAKE
113,0,15,WALL
114,1,11,WALL
115,0,11,WALL
116,0,34,WALL
117,0,17,WALL
118,0,1,SNAKE
119,0,10,WALL
120,0,9,WALL
121,0,1,SNAKE
122,0,8,WALL
123,0,8,WALL
124,0,34,WALL
125,0,1,SNAKE
126,0,8,WALL
127,0,1,SNAKE
128,0,1,SNAKE
129,0,1,SNAKE
130,0,22,WALL
131,0,1,SNAKE
132,1,15,WALL
133,0,31,WALL
134,0,1,SNAKE
135,1,8,WALL
136,0,1,SNAKE
137,0,41,WALL
138,1,22,WALL
139,0,5,WALL
140,0,23,WALL
141,1,6,WALL
142,0,4,WALL
143,0,1,SNAKE
144,0,1,SNAKE
145,1,8,WALL
146,0,1,SNAKE
147,0,7,WALL
148,0,10,WALL
149,0,1,SNAKE
150,0,51,WALL
151,0,7,WALL
152,0,5,WALL
153,0,1,SNAKE
154,1,14,WALL
155,0,10,WALL
156,0,1,SNAKE
157,0,7,WALL
158,0,15,WALL
159,1,21,WALL
160,0,1,SNAKE
161,1,7,SNAKE
162,0,1,SNAKE
163,0,1,SNAKE
164,0,1,SNAKE
165,0,8,WALL
166,0,14,WALL
167,0,9,WALL
168,0,19,WALL
169,0,1,SNAKE
170,0,12,WALL
171,0,17,WALL
172,0,10,WALL
173,0,19,WALL
174,0,8,WALL
175,1,6,SNAKE
176,0,6,WALL
177,0,1,SNAKE
178,0,5,WALL
179,0,1,SNAKE
180,0,1,SNAKE
181,0,1,SNAKE
182,0,6,WALL
183,0,10,WALL
184,0,1,SNAKE
185,0,1,SNAKE
186,0,14,WALL
187,0,5,WALL
188,1,17,SNAKE
189,0,1,SNAKE
190,0,6,WALL
191,0,19,WALL
192,0,1,SNAKE
193,0,11,WALL
194,0,9,WALL
195,0,7,WALL
196,0,1,SNAKE
197,0,7,WALL
198,0,12,WALL
199,0,1,SNAKE
200,0,7,WALL
201,0,12,WALL
202,0,20,WALL
203,0,1,SNAKE
204,0,1,SNAKE
205,0,26,WALL
206,0,7,WALL
207,2,17,WALL
208,0,7,WALL
209,0,1,SNAKE
210,0,7,WALL
211,0,18,WALL
212,0,1,SNAKE
213,0,23,WALL
214,0,14,WALL
215,0,1,SNAKE
216,1,20,WALL
217,0,16,WALL
218,0,1,SNAKE
219,0,9,WALL
220,0,1,SNAKE
221,0,6,WALL
222,0,1,SNAKE
223,0,10,WALL
224,0,1,SNAKE
225,1,19,WALL
226,0,1,SNAKE
227,0,8,WALL
228,0,45,WALL
229,0,7,WALL
230,0,1,SNAKE
231,0,13,WALL
232,0,5,WALL
233,0,4,WALL
234,0,1,SNAKE
235,0,1,SNAKE
236,0,1,SNAKE
237,0,1,SNAKE
238,0,1,SNAKE
239,0,25,WALL
240,0,38,WALL
241,0,10,WALL
242,1,8,WALL
243,0,6,WALL
244,0,1,SNAKE
245,0,1,SNAKE
246,0,12,WALL
247,0,5,WALL
248,0,8,WALL
249,0,16,WALL
250,0,14,WALL
251,0,10,WALL
252,0,30,WALL
253,1,22,WALL
254,0,1,SNAKE
255,0,5,WALL
256,1,27,WALL
257,0,12,WALL
258,0,17,WALL
259,0,1,SNAKE
260,0,1,SNAKE
261,0,1,SNAKE
262,0,26,WALL
263,0,23,WALL
264,0,28,WALL
265,0,7,WALL
266,0,9,WALL
267,0,1,SNAKE
268,0,7,WALL
269,0,26,WALL
270,0,7,WALL
271,0,10,WALL
272,1,5,WALL
273,0,1,SNAKE
274,0,8,WALL
275,0,1,SNAKE
276,0,1,SNAKE
277,0,8,WALL
278,0,9,WALL
279,0,16,WALL
280,0,9,WALL
281,0,8,WALL
282,0,1,SNAKE
283,0,1,SNAKE
284,0,11,WALL
285,0,5,WALL
286,0,1,SNAKE
287,0,1,SNAKE
288,0,1,SNAKE
289,0,1,SNAKE
290,0,1,SNAKE
291,0,23,WALL
292,1,13,WALL
293,0,10,WALL
294,0,8,WALL
295,0,6,WALL
296,0,13,WALL
297,0,9,WALL
298,0,8,WALL
299,0,11,WALL
300,0,6,WALL
301,0,1,SNAKE
302,0,7,WALL
303,0,6,WALL
304,1,16,WALL
305,1,6,SNAKE
306,1,22,WALL
307,0,17,WALL
308,0,7,WALL
309,0,1,SNAKE
310,0,14,WALL
311,0,13,WALL
312,0,7,WALL
313,0,1,SNAKE
314,0,18,WALL
315,0,1,SNAKE
316,0,8,WALL
317,0,16,WALL
318,0,1,SNAKE
319,0,17,WALL
320,0,9,WALL
321,0,1,SNAKE
322,0,15,WALL
323,1,13,WALL
324,0,1,SNAKE
325,0,12,WALL
326,0,1,SNAKE
327,0,24,WALL
328,0,28,WALL
329,0,11,WALL
330,0,1,SNAKE
331,0,6,WALL
332,0,7,WALL
333,1,25,WALL
334,0,1,SNAKE
335,0,5,WALL
336,0,10,WALL
337,0,1,SNAKE
338,0,1,SNAKE
339,0,18,WALL
340,0,7,WALL
341,0,1,SNAKE
342,0,10,WALL
343,0,4,WALL
344,0,10,WALL
345,0,37,WALL
346,1,9,WALL
347,0,8,WALL
348,0,1,SNAKE
349,0,1,SNAKE
350,0,1,SNAKE
351,0,1,SNAKE
352,0,1,SNAKE
353,0,1,SNAKE
354,1,8,WALL
355,0,9,WALL
356,0,1,SNAKE
357,0,10,WALL
358,0,1,SNAKE
359,0,1,SNAKE
360,0,1,SNAKE
361,0,1,SNAKE
362,0,7,WALL
363,0,19,WALL
364,1,6,SNAKE
365,1,9,SNAKE
366,0,9,WALL
367,0,1,SNAKE
368,0,5,WALL
369,0,10,WALL
370,0,13,WALL
371,1,15,SNAKE
372,0,1,SNAKE
373,0,8,WALL
374,0,5,WALL
375,0,1,SNAKE
376,0,1,SNAKE
377,0,1,SNAKE
378,0,9,WALL
379,0,1,SNAKE
380,0,1,SNAKE
381,1,7,SNAKE
382,0,6,WALL
383,0,1,SNAKE
384,0,9,WALL
385,1,14,SNAKE
386,0,1,SNAKE
387,0,10,WALL
388,0,7,WALL
389,0,1,SNAKE
390,0,7,WALL
391,0,1,SNAKE
392,0,15,WALL
393,0,5,WALL
394,0,11,WALL
395,0,1,SNAKE
396,0,27,WALL
397,0,8,WALL
398,0,9,WALL
399,0,1,SNAKE
400,0,38,WALL
401,0,1,SNAKE
402,1,18,WALL
403,0,15,WALL
404,0,14,WALL
405,0,30,WALL
406,0,13,WALL
407,0,1,SNAKE
408,0,18,WALL
409,0,1,SNAKE
410,1,11,SNAKE
411,0,1,SNAKE
412,0,8,WALL
413,0,8,WALL
414,0,1,SNAKE
415,0,19,WALL
416,0,14,WALL
