Episode,Score,Total Steps,Death
1,0,7,WALL
2,0,11,WALL
3,0,6,WALL
4,0,29,WALL
5,0,1,SNAKE
6,1,25,SNAKE
7,0,6,WALL
8,0,14,WALL
9,0,1,SNAKE
10,0,12,WALL
11,0,1,SNAKE
12,0,15,WALL
13,0,9,WALL
14,0,8,WALL
15,0,1,SNAKE
16,0,1,SNAKE
17,0,6,WALL
18,0,17,WALL
19,0,1,SNAKE
20,0,30,WALL
21,0,1,SNAKE
22,0,4,WALL
23,1,12,WALL
24,0,1,SNAKE
25,0,1,SNAKE
26,0,1,SNAKE
27,0,8,WALL
28,0,7,WALL
29,0,13,WALL
30,0,12,WALL
31,0,1,SNAKE
32,0,14,WALL
33,0,1,SNAKE
34,0,1,SNAKE
35,0,9,WALL
36,1,17,WALL
37,0,20,WALL
38,0,1,SNAKE
39,0,6,WALL
40,0,31,WALL
41,0,8,WALL
42,0,22,WALL
43,0,11,WALL
44,0,33,WALL
45,0,1,SNAKE
46,0,8,WALL
47,0,7,WALL
48,0,1,SNAKE
49,0,1,SNAKE
50,0,1,SNAKE
51,1,15,SNAKE
52,0,11,WALL
53,1,15,SNAKE
54,0,5,WALL
55,0,6,WALL
56,0,1,SNAKE
57,0,14,WALL
58,1,26,WALL
59,0,18,WALL
60,0,22,WALL
61,0,6,WALL
62,0,1,SNAKE
63,0,11,WALL
64,0,5,WALL
65,0,10,WALL
66,0,1,SNAKE
67,0,25,WALL
68,0,1,SNAKE
69,0,1,SNAKE
70,0,16,WALL
71,0,1,SNAKE
72,0,28,WALL
73,0,5,WALL
74,0,13,WALL
75,1,15,WALL
76,0,1,SNAKE
77,0,14,WALL
78,0,5,WALL
79,0,1,SNAKE
80,0,1,SNAKE
81,0,5,WALL
82,0,13,WALL
83,0,11,WALL
84,0,17,WALL
85,1,10,WALL
86,1,10,WALL
87,0,11,WALL
88,0,1,SNAKE
89,0,1,SNAKE
90,0,20,WALL
91,0,4,WALL
92,1,16,WALL
93,0,25,WALL
94,2,16,SNAKE
95,0,1,SNAKE
96,0,1,SNAKE
97,0,6,WALL
98,1,12,WALL
99,0,1,SNAKE
100,0,1,SNAKE
101,0,1,SNAKE
102,0,54,WALL
103,0,24,WALL
104,1,8,WALL
105,0,20,WALL
106,0,19,WALL
107,0,1,SNAKE
108,0,1,SNAKE
109,0,1,SNAKE
110,0,1,SNAKE
111,0,1,SNAKE
112,0,1,SNAKE
113,0,20,WALL
114,0,11,WALL
115,0,5,WALL
116,0,10,WALL
117,0,18,WALL
118,0,1,SNAKE
119,0,9,WALL
120,0,1,SNAKE
121,0,1,SNAKE
122,1,16,WALL
123,1,25,SNAKE
124,0,11,WALL
125,0,1,SNAKE
126,0,11,WALL
127,1,10,SNAKE
128,0,1,SNAKE
129,0,9,WALL
130,0,1,SNAKE
131,0,1,SNAKE
132,0,9,WALL
133,0,9,WALL
134,0,22,WALL
135,0,6,WALL
136,0,23,WALL
137,0,1,SNAKE
138,0,22,WALL
139,0,1,SNAKE
140,0,9,WALL
141,1,40,WALL
142,0,38,WALL
143,0,1,SNAKE
144,0,7,WALL
145,0,5,WALL
146,0,25,WALL
147,0,7,WALL
148,0,6,WALL
149,0,14,WALL
150,0,6,WALL
151,0,16,WALL
152,0,10,WALL
153,0,7,WALL
154,0,13,WALL
155,0,1,SNAKE
156,0,1,SNAKE
157,0,16,WALL
158,0,25,WALL
159,0,1,SNAKE
160,0,1,SNAKE
161,0,6,WALL
162,0,1,SNAKE
163,0,5,WALL
164,0,7,WALL
165,0,1,SNAKE
166,0,18,WALL
167,1,5,SNAKE
168,0,1,SNAKE
169,0,1,SNAKE
170,0,1,SNAKE
171,0,24,WALL
172,0,30,WALL
173,0,18,WALL
174,0,12,WALL
175,0,13,WALL
176,0,13,WALL
177,0,1,SNAKE
178,1,12,WALL
179,0,15,WALL
180,0,1,SNAKE
181,0,1,SNAKE
182,1,35,WALL
183,0,5,WALL
184,0,1,SNAKE
185,0,6,WALL
186,0,1,SNAKE
