Episode,Score,Total Steps,Death
298,0,1,SNAKE
299,1,18,SNAKE
300,2,35,SNAKE
301,0,4,WALL
302,0,1,SNAKE
303,0,15,WALL
304,1,32,WALL
305,0,1,SNAKE
306,0,1,SNAKE
307,0,15,WALL
308,0,1,SNAKE
309,0,1,SNAKE
310,0,5,WALL
311,0,27,WALL
312,0,1,SNAKE
313,0,17,WALL
314,0,1,SNAKE
315,0,17,WALL
316,0,26,WALL
317,0,17,WALL
318,0,6,WALL
319,0,11,WALL
320,1,16,WALL
321,0,1,SNAKE
322,0,5,WALL
323,0,1,SNAKE
324,0,15,WALL
325,0,1,SNAKE
326,0,14,WALL
327,0,23,WALL
328,1,20,SNAKE
329,0,8,WALL
330,1,10,WALL
331,0,1,SNAKE
332,0,10,WALL
333,0,1,SNAKE
334,0,1,SNAKE
335,0,25,WALL
336,0,15,WALL
337,0,1,SNAKE
338,0,1,SNAKE
339,0,7,WALL
340,0,1,SNAKE
341,0,1,SNAKE
342,0,1,SNAKE
343,1,23,SNAKE
344,0,1,SNAKE
345,0,6,WALL
346,1,18,WALL
347,0,6,WALL
348,0,42,WALL
349,0,19,WALL
350,0,1,SNAKE
351,0,6,WALL
352,0,1,SNAKE
353,0,1,SNAKE
354,0,8,WALL
355,0,1,SNAKE
356,0,1,SNAKE
357,0,20,WALL
358,0,33,WALL
359,0,15,WALL
360,0,1,SNAKE
361,0,5,WALL
362,0,28,WALL
363,0,16,WALL
364,0,38,WALL
365,1,12,WALL
366,0,12,WALL
367,0,1,SNAKE
368,0,1,SNAKE
369,0,9,WALL
370,0,19,WALL
371,0,1,SNAKE
372,0,8,WALL
373,0,21,WALL
374,0,6,WALL
375,0,8,WALL
376,0,5,WALL
377,0,5,WALL
378,0,1,SNAKE
379,0,1,SNAKE
380,0,10,WALL
381,0,6,WALL
382,0,1,SNAKE
383,0,1,SNAKE
384,0,9,WALL
385,0,11,WALL
386,0,1,SNAKE
387,0,12,WALL
388,0,7,WALL
389,0,6,WALL
390,0,18,WALL
391,0,15,WALL
392,0,1,SNAKE
393,0,5,WALL
394,0,1,SNAKE
395,2,42,SNAKE
396,0,6,WALL
397,0,5,WALL
398,0,8,WALL
399,0,1,SNAKE
400,0,11,WALL
401,0,1,SNAKE
402,1,8,SNAKE
403,0,17,WALL
404,0,1,SNAKE
405,0,10,WALL
406,0,1,SNAKE
407,0,5,WALL
408,0,13,WALL
409,0,6,WALL
410,0,9,WALL
411,0,6,WALL
412,0,7,WALL
413,0,22,WALL
414,1,31,WALL
415,1,22,WALL
416,0,1,SNAKE
417,0,1,SNAKE
418,0,11,WALL
419,1,13,SNAKE
420,0,1,SNAKE
421,0,5,WALL
422,0,13,WALL
423,0,5,WALL
424,0,7,WALL
425,0,32,WALL
426,2,32,WALL
427,0,1,SNAKE
428,0,1,SNAKE
429,0,12,WALL
430,0,11,WALL
431,0,20,WALL
432,0,7,WALL
433,0,7,WALL
434,2,20,SNAKE
435,0,8,WALL
436,0,1,SNAKE
437,0,1,SNAKE
438,0,1,SNAKE
439,1,3,SNAKE
440,0,30,WALL
441,0,6,WALL
442,0,24,WALL
443,0,9,WALL
444,0,6,WALL
445,0,1,SNAKE
446,0,1,SNAKE
447,0,7,WALL
448,0,1,SNAKE
449,1,8,WALL
450,1,11,WALL
451,0,22,WALL
452,0,6,WALL
453,0,7,WALL
454,0,7,WALL
455,0,1,SNAKE
456,0,1,SNAKE
457,0,13,WALL
458,0,6,WALL
459,0,7,WALL
460,0,9,WALL
461,0,5,WALL
462,0,1,SNAKE
463,0,11,WALL
464,0,4,WALL
465,0,1,SNAKE
466,0,8,WALL
467,0,1,SNAKE
468,0,32,WALL
469,0,22,WALL
470,0,16,WALL
471,0,25,WALL
472,0,9,WALL
473,0,9,WALL
474,0,1,SNAKE
475,0,6,WALL
476,0,8,WALL
477,0,8,WALL
478,1,3,SNAKE
479,0,1,SNAKE
480,0,1,SNAKE
481,0,12,WALL
482,1,20,WALL
483,0,4,WALL
484,0,7,WALL
485,0,9,WALL
486,0,7,WALL
487,0,10,WALL
488,0,1,SNAKE
489,0,14,WALL
490,0,30,WALL
491,0,1,SNAKE
492,0,1,SNAKE
493,1,7,WALL
494,0,1,SNAKE
495,1,20,WALL
496,0,1,SNAKE
497,0,1,SNAKE
498,0,8,WALL
499,0,1,SNAKE
500,0,9,WALL
501,0,4,WALL
502,0,1,SNAKE
503,0,1,SNAKE
504,0,30,WALL
505,0,10,WALL
506,0,6,WALL
507,0,24,WALL
508,0,1,SNAKE
509,0,1,SNAKE
510,0,9,WALL
511,1,20,SNAKE
512,0,15,WALL
513,0,21,WALL
514,0,1,SNAKE
515,0,1,SNAKE
516,0,32,WALL
517,0,9,WALL
518,0,1,SNAKE
519,0,1,SNAKE
520,0,1,SNAKE
521,0,9,WALL
522,0,10,WALL
523,0,1,SNAKE
524,0,10,WALL
525,0,1,SNAKE
526,0,1,SNAKE
527,0,1,SNAKE
528,1,3,SNAKE
529,0,1,SNAKE
530,0,19,WALL
531,1,10,WALL
532,0,1,SNAKE
533,0,1,SNAKE
534,1,15,WALL
535,1,33,WALL
536,1,3,SNAKE
537,0,1,SNAKE
538,0,15,WALL
539,0,16,WALL
540,0,1,SNAKE
541,0,1,SNAKE
542,1,6,SNAKE
543,1,19,SNAKE
544,0,21,WALL
545,0,1,SNAKE
546,0,14,WALL
547,1,14,WALL
548,0,1,SNAKE
549,0,18,WALL
550,0,1,SNAKE
551,0,13,WALL
552,0,1,SNAKE
553,0,8,WALL
554,1,15,SNAKE
555,0,5,WALL
556,0,21,WALL
557,0,9,WALL
558,0,1,SNAKE
559,0,1,SNAKE
560,0,12,WALL
561,1,4,WALL
562,0,1,SNAKE
563,0,16,WALL
564,0,1,SNAKE
565,0,1,SNAKE
566,0,12,WALL
567,0,16,WALL
568,0,1,SNAKE
569,0,1,SNAKE
570,0,16,WALL
571,1,14,WALL
572,0,16,WALL
573,0,9,WALL
574,0,6,WALL
575,1,8,SNAKE
576,0,12,WALL
577,0,1,SNAKE
578,0,19,WALL
579,0,12,WALL
580,0,6,WALL
581,0,26,WALL
582,0,53,WALL
583,0,1,SNAKE
584,0,1,SNAKE
585,0,8,WALL
586,1,5,SNAKE
587,0,26,WALL
588,0,18,WALL
589,0,10,WALL
590,0,1,SNAKE
591,0,1,SNAKE
592,0,1,SNAKE
593,0,16,WALL
594,0,1,SNAKE
595,0,16,WALL
596,0,7,WALL
597,0,1,SNAKE
598,0,1,SNAKE
599,0,1,SNAKE
600,0,7,WALL
601,0,11,WALL
602,0,17,WALL
603,0,1,SNAKE
604,1,14,WALL
605,0,6,WALL
606,0,26,WALL
607,0,23,WALL
608,0,7,WALL
609,0,13,WALL
610,1,16,SNAKE
611,0,9,WALL
612,0,1,SNAKE
613,0,11,WALL
614,0,5,WALL
615,0,22,WALL
616,0,12,WALL
617,0,1,SNAKE
618,0,13,WALL
619,0,1,SNAKE
620,0,1,SNAKE
621,0,14,WALL
622,0,1,SNAKE
623,0,12,WALL
624,0,15,WALL
625,0,10,WALL
626,0,1,SNAKE
627,0,17,WALL
628,1,11,WALL
629,0,7,WALL
630,0,1,SNAKE
631,0,1,SNAKE
632,0,15,WALL
633,0,1,SNAKE
634,0,23,WALL
635,0,1,SNAKE
636,0,1,SNAKE
637,0,1,SNAKE
638,0,8,WALL
639,0,6,WALL
640,0,10,WALL
641,1,15,SNAKE
642,0,1,SNAKE
643,0,5,WALL
644,0,18,WALL
645,0,14,WALL
646,0,1,SNAKE
647,0,14,WALL
648,0,15,WALL
649,1,11,WALL
650,0,1,SNAKE
651,1,11,WALL
652,0,17,WALL
653,0,1,SNAKE
654,0,12,WALL
655,0,1,SNAKE
656,1,12,WALL
657,0,13,WALL
658,1,24,WALL
659,0,36,WALL
660,0,9,WALL
661,0,6,WALL
662,1,26,WALL
663,0,14,WALL
664,0,14,WALL
665,1,17,WALL
666,0,1,SNAKE
667,0,16,WALL
668,0,24,WALL
669,0,1,SNAKE
670,0,26,WALL
671,0,1,SNAKE
672,0,7,WALL
673,0,20,WALL
674,0,7,WALL
675,0,1,SNAKE
676,0,17,WALL
677,0,5,WALL
678,0,1,SNAKE
679,0,1,SNAKE
680,0,16,WALL
681,0,1,SNAKE
682,0,7,WALL
683,0,8,WALL
684,0,1,SNAKE
685,0,1,SNAKE
686,0,14,WALL
687,0,14,WALL
688,0,10,WALL
689,0,7,WALL
690,0,1,SNAKE
691,0,1,SNAKE
692,0,5,WALL
693,0,18,WALL
694,0,1,SNAKE
695,0,7,WALL
696,0,1,SNAKE
697,0,5,WALL
698,0,11,WALL
699,0,5,WALL
700,0,6,WALL
701,0,1,SNAKE
702,0,17,WALL
703,0,1,SNAKE
704,0,1,SNAKE
705,0,1,SNAKE
706,1,8,WALL
707,0,1,SNAKE
708,0,8,WALL
709,0,1,SNAKE
710,0,1,SNAKE
711,1,8,WALL
712,1,10,WALL
713,0,1,SNAKE
714,0,1,SNAKE
715,0,8,WALL
716,0,5,WALL
717,0,1,SNAKE
718,0,1,SNAKE
719,1,21,WALL
720,0,21,WALL
721,0,16,WALL
722,0,1,SNAKE
723,0,5,WALL
724,0,1,SNAKE
725,0,12,WALL
726,0,1,SNAKE
727,0,11,WALL
728,1,26,WALL
729,0,22,WALL
730,0,13,WALL
731,0,4,WALL
732,0,1,SNAKE
733,0,8,WALL
734,0,1,SNAKE
735,0,1,SNAKE
736,0,6,WALL
737,0,1,SNAKE
738,0,7,WALL
739,0,7,WALL
740,0,1,SNAKE
741,0,1,SNAKE
742,0,1,SNAKE
743,0,12,WALL
744,0,1,SNAKE
745,0,12,WALL
746,1,8,SNAKE
747,0,30,WALL
748,0,21,WALL
749,0,6,WALL
750,0,12,WALL
751,1,12,WALL
752,0,9,WALL
753,0,9,WALL
754,0,10,WALL
755,1,15,WALL
756,0,6,WALL
757,0,10,WALL
758,0,1,SNAKE
759,1,5,WALL
760,0,1,SNAKE
761,0,17,WALL
762,1,24,SNAKE
763,0,24,WALL
764,0,7,WALL
765,0,28,WALL
766,0,13,WALL
767,0,37,WALL
768,0,1,SNAKE
769,0,1,SNAKE
770,0,21,WALL
771,0,50,WALL
772,0,9,WALL
773,0,1,SNAKE
774,0,26,WALL
775,1,16,WALL
776,0,7,WALL
777,0,4,WALL
778,0,1,SNAKE
779,0,1,SNAKE
780,0,1,SNAKE
781,0,1,SNAKE
782,0,5,WALL
783,0,1,SNAKE
784,0,1,SNAKE
785,0,22,WALL
786,0,6,WALL
787,0,9,WALL
788,0,19,WALL
789,0,9,WALL
790,0,7,WALL
791,0,1,SNAKE
792,0,10,WALL
793,0,7,WALL
794,0,14,WALL
795,0,10,WALL
796,0,1,SNAKE
797,0,13,WALL
798,1,10,WALL
799,0,1,SNAKE
800,2,22,SNAKE
801,1,12,SNAKE
802,0,19,WALL
803,0,1,SNAKE
804,0,1,SNAKE
805,0,7,WALL
806,0,1,SNAKE
807,0,14,WALL
808,0,1,SNAKE
809,0,19,WALL
810,0,1,SNAKE
811,0,1,SNAKE
812,0,23,WALL
813,0,6,WALL
814,1,24,SNAKE
815,0,1,SNAKE
816,0,8,WALL
817,0,1,SNAKE
818,0,1,SNAKE
819,0,1,SNAKE
820,0,1,SNAKE
821,0,1,SNAKE
822,0,1,SNAKE
823,0,8,WALL
824,0,6,WALL
825,0,1,SNAKE
826,0,1,SNAKE
827,0,4,WALL
828,0,15,WALL
829,0,11,WALL
830,0,5,WALL
831,0,24,WALL
832,0,1,SNAKE
833,0,16,WALL
834,0,6,WALL
835,0,1,SNAKE
836,1,22,WALL
837,0,21,WALL
838,0,6,WALL
839,1,13,WALL
840,0,8,WALL
841,0,11,WALL
842,0,15,WALL
843,0,1,SNAKE
844,0,8,WALL
845,0,13,WALL
846,0,1,SNAKE
847,0,1,SNAKE
848,0,1,SNAKE
849,0,19,WALL
850,0,1,SNAKE
851,0,8,WALL
852,0,1,SNAKE
853,0,16,WALL
854,0,6,WALL
855,0,1,SNAKE
856,0,1,SNAKE
857,0,42,WALL
858,0,15,WALL
859,0,1,SNAKE
860,0,9,WALL
861,0,5,WALL
862,1,14,SNAKE
863,0,8,WALL
864,0,8,WALL
865,0,6,WALL
866,0,5,WALL
867,0,5,WALL
868,0,34,WALL
869,0,11,WALL
870,0,1,SNAKE
871,1,11,SNAKE
872,0,1,SNAKE
873,0,11,WALL
874,0,8,WALL
875,0,1,SNAKE
876,0,6,WALL
877,0,1,SNAKE
878,0,1,SNAKE
879,0,13,WALL
880,0,6,WALL
881,0,13,WALL
882,0,8,WALL
883,1,13,WALL
884,0,1,SNAKE
885,0,1,SNAKE
886,1,50,WALL
887,1,24,WALL
888,0,4,WALL
889,0,39,WALL
890,1,8,SNAKE
891,0,9,WALL
892,0,9,WALL
893,0,34,WALL
894,0,5,WALL
895,0,12,WALL
896,0,7,WALL
897,0,7,WALL
898,0,1,SNAKE
899,0,7,WALL
900,0,1,SNAKE
901,1,7,WALL
902,0,12,WALL
903,0,20,WALL
904,0,1,SNAKE
905,0,12,WALL
906,0,1,SNAKE
907,0,1,SNAKE
908,0,14,WALL
909,0,7,WALL
910,0,6,WALL
911,0,1,SNAKE
912,0,14,WALL
913,0,7,WALL
914,0,13,WALL
915,0,1,SNAKE
916,0,11,WALL
917,0,1,SNAKE
918,0,1,SNAKE
919,0,14,WALL
920,0,11,WALL
921,0,27,WALL
922,0,14,WALL
923,0,6,WALL
924,0,29,WALL
925,0,7,WALL
926,0,1,SNAKE
927,0,9,WALL
928,0,25,WALL
929,0,1,SNAKE
930,0,10,WALL
931,0,1,SNAKE
932,0,6,WALL
933,0,7,WALL
934,0,5,WALL
935,0,11,WALL
936,0,1,SNAKE
937,0,5,WALL
938,0,7,WALL
939,0,18,WALL
940,0,1,SNAKE
941,0,32,WALL
942,0,7,WALL
943,0,22,WALL
944,0,1,SNAKE
945,0,7,WALL
946,0,13,WALL
947,0,7,WALL
948,1,11,SNAKE
949,0,1,SNAKE
950,0,1,SNAKE
951,0,16,WALL
952,0,9,WALL
953,0,1,SNAKE
954,0,7,WALL
955,0,6,WALL
956,0,27,WALL
957,0,15,WALL
958,0,1,SNAKE
959,0,1,SNAKE
960,0,1,SNAKE
961,0,1,SNAKE
962,0,1,SNAKE
963,0,1,SNAKE
964,0,1,SNAKE
965,0,1,SNAKE
966,0,1,SNAKE
967,0,1,SNAKE
968,1,12,WALL
969,0,9,WALL
970,0,8,WALL
971,0,1,SNAKE
972,0,6,WALL
973,0,1,SNAKE
974,0,12,WALL
975,0,6,WALL
976,0,1,SNAKE
977,0,9,WALL
978,0,20,WALL
979,0,19,WALL
980,0,14,WALL
981,0,10,WALL
982,0,12,WALL
983,0,1,SNAKE
984,0,15,WALL
985,1,13,WALL
986,0,9,WALL
987,0,6,WALL
988,0,1,SNAKE
989,1,8,WALL
990,0,1,SNAKE
991,1,11,WALL
992,0,1,SNAKE
993,0,6,WALL
994,0,10,WALL
995,0,1,SNAKE
996,0,42,WALL
997,0,11,WALL
998,0,6,WALL
999,0,1,SNAKE
1000,0,1,SNAKE
1001,0,6,WALL
1002,0,1,SNAKE
1003,0,1,SNAKE
1004,1,9,WALL
1005,0,1,SNAKE
1006,0,10,WALL
1007,0,1,SNAKE
1008,0,1,SNAKE
1009,0,1,SNAKE
1010,0,28,WALL
1011,0,8,WALL
1012,0,1,SNAKE
1013,0,12,WALL
1014,0,11,WALL
1015,0,1,SNAKE
1016,0,10,WALL
1017,0,9,WALL
1018,0,10,WALL
1019,0,1,SNAKE
1020,1,21,WALL
1021,0,1,SNAKE
1022,0,6,WALL
1023,0,1,SNAKE
1024,0,16,WALL
1025,0,41,WALL
1026,0,1,SNAKE
1027,0,9,WALL
1028,0,1,SNAKE
1029,1,8,WALL
1030,0,1,SNAKE
1031,0,16,WALL
1032,0,12,WALL
1033,0,6,WALL
1034,0,22,WALL
1035,0,1,SNAKE
1036,0,1,SNAKE
1037,0,19,WALL
1038,0,1,SNAKE
1039,0,14,WALL
1040,0,7,WALL
1041,0,1,SNAKE
1042,0,1,SNAKE
1043,0,1,SNAKE
1044,0,1,SNAKE
1045,0,14,WALL
1046,0,12,WALL
