Episode,Score,Total Steps,Death
1,0,1,SNAKE
2,0,5,WALL
3,1,12,WALL
4,0,1,SNAKE
5,0,10,WALL
6,0,10,WALL
7,0,1,SNAKE
8,0,19,WALL
9,0,4,WALL
10,0,9,WALL
11,0,14,WALL
12,0,56,WALL
13,0,17,WALL
14,0,1,SNAKE
15,0,1,SNAKE
16,0,1,SNAKE
17,0,16,WALL
18,1,9,WALL
19,0,5,WALL
20,0,29,WALL
21,0,9,WALL
22,0,22,WALL
23,0,10,WALL
24,0,13,WALL
25,0,39,WALL
26,0,6,WALL
27,0,9,WALL
28,0,8,WALL
29,0,1,SNAKE
30,0,1,SNAKE
31,0,1,SNAKE
32,0,7,WALL
33,0,1,SNAKE
34,0,1,SNAKE
35,0,13,WALL
36,0,12,WALL
37,0,7,WALL
38,0,12,WALL
39,0,8,WALL
40,0,20,WALL
41,0,27,WALL
42,0,18,WALL
43,0,1,SNAKE
44,0,24,WALL
45,0,1,SNAKE
46,0,8,WALL
47,0,12,WALL
48,0,19,WALL
49,0,14,WALL
50,0,42,WALL
51,0,1,SNAKE
52,0,22,WALL
53,0,5,WALL
54,0,15,WALL
55,0,1,SNAKE
56,0,15,WALL
57,1,6,SNAKE
58,0,1,SNAKE
59,0,28,WALL
60,0,1,SNAKE
61,0,12,WALL
62,0,11,WALL
63,0,1,SNAKE
64,0,8,WALL
65,0,10,WALL
66,0,1,SNAKE
67,0,1,SNAKE
68,0,29,WALL
69,0,7,WALL
70,1,8,SNAKE
71,0,7,WALL
72,0,35,WALL
73,0,9,WALL
74,0,12,WALL
75,0,1,SNAKE
76,0,1,SNAKE
77,0,14,WALL
78,0,1,SNAKE
79,0,9,WALL
80,0,5,WALL
81,0,1,SNAKE
82,1,25,WALL
83,0,12,WALL
84,0,6,WALL
85,0,1,SNAKE
86,0,27,WALL
87,0,16,WALL
88,2,10,SNAKE
89,0,16,WALL
90,0,5,WALL
91,0,5,WALL
92,1,7,WALL
93,0,1,SNAKE
94,0,10,WALL
95,0,36,WALL
96,0,12,WALL
97,0,1,SNAKE
98,1,23,WALL
99,1,13,WALL
100,0,1,SNAKE
101,0,1,SNAKE
102,0,26,WALL
103,0,1,SNAKE
104,1,11,WALL
105,0,9,WALL
106,0,4,WALL
107,0,1,SNAKE
108,0,15,WALL
109,0,24,WALL
110,0,9,WALL
111,0,7,WALL
112,0,1,SNAKE
113,1,19,WALL
114,0,7,WALL
115,0,6,WALL
116,0,1,SNAKE
117,0,5,WALL
118,0,11,WALL
119,0,1,SNAKE
120,0,14,WALL
121,0,15,WALL
122,0,1,SNAKE
123,0,1,SNAKE
124,0,19,WALL
125,0,1,SNAKE
126,0,6,WALL
127,0,1,SNAKE
128,0,30,WALL
129,0,1,SNAKE
130,0,11,WALL
131,0,6,WALL
132,0,14,WALL
133,0,6,WALL
134,1,28,WALL
135,0,1,SNAKE
136,0,11,WALL
137,0,1,SNAKE
138,0,1,SNAKE
139,0,18,WALL
140,0,10,WALL
141,1,12,SNAKE
142,0,1,SNAKE
143,0,6,WALL
144,0,10,WALL
145,0,1,SNAKE
146,1,8,WALL
147,0,1,SNAKE
148,0,22,WALL
149,1,4,SNAKE
150,0,10,WALL
151,0,13,WALL
152,0,1,SNAKE
153,0,26,WALL
154,0,7,WALL
155,0,28,WALL
156,0,17,WALL
157,0,1,SNAKE
158,0,1,SNAKE
159,0,13,WALL
160,0,16,WALL
161,0,1,SNAKE
162,0,20,WALL
163,0,24,WALL
164,0,1,SNAKE
165,0,13,WALL
166,0,13,WALL
167,1,6,WALL
168,0,10,WALL
169,0,33,WALL
170,0,33,WALL
171,0,8,WALL
172,0,32,WALL
173,0,11,WALL
174,0,7,WALL
175,0,1,SNAKE
176,1,7,WALL
177,0,1,SNAKE
178,0,34,WALL
179,1,20,WALL
180,1,7,WALL
181,0,1,SNAKE
182,0,1,SNAKE
183,0,13,WALL
184,1,16,WALL
185,0,26,WALL
186,0,9,WALL
187,0,1,SNAKE
188,0,1,SNAKE
189,0,12,WALL
190,0,8,WALL
191,0,7,WALL
192,1,26,SNAKE
193,0,6,WALL
194,0,16,WALL
195,0,23,WALL
196,0,8,WALL
197,0,1,SNAKE
198,1,15,SNAKE
199,0,1,SNAKE
200,0,1,SNAKE
201,0,1,SNAKE
202,0,1,SNAKE
203,1,24,WALL
204,0,1,SNAKE
205,0,11,WALL
206,0,1,SNAKE
207,0,11,WALL
208,0,21,WALL
209,0,36,WALL
210,0,32,WALL
211,0,9,WALL
212,0,6,WALL
213,0,15,WALL
214,0,9,WALL
215,0,11,WALL
216,0,13,WALL
217,0,9,WALL
218,0,1,SNAKE
219,0,18,WALL
220,0,1,SNAKE
221,0,12,WALL
222,0,15,WALL
