Episode,Score,Total Steps,Death,Epsilon
1, 0, 7, Status.WALL, 1.0
2, 0, 24, Status.WALL, 0.995
3, 0, 25, Status.WALL, 0.990025
4, 0, 10, Status.WALL, 0.985074875
5, 1, 8, Status.SNAKE, 0.9801495006250001
6, 1, 9, Status.WALL, 0.9752487531218751
7, 0, 4, Status.WALL, 0.9703725093562657
8, 1, 6, Status.WALL, 0.9655206468094844
9, 0, 18, Status.WALL, 0.960693043575437
10, 2, 18, Status.WALL, 0.9558895783575597
11, 0, 9, Status.WALL, 0.9511101304657719
12, 1, 13, Status.WALL, 0.946354579813443
13, 0, 6, Status.WALL, 0.9416228069143757
14, 0, 14, Status.WALL, 0.9369146928798039
15, 0, 8, Status.WALL, 0.9322301194154049
16, 0, 10, Status.WALL, 0.9275689688183278
17, 0, 9, Status.WALL, 0.9229311239742362
18, 0, 20, Status.WALL, 0.918316468354365
19, 0, 11, Status.WALL, 0.9137248860125932
20, 1, 8, Status.WALL, 0.9091562615825302
21, 0, 13, Status.WALL, 0.9046104802746175
22, 1, 5, Status.SNAKE, 0.9000874278732445
23, 0, 7, Status.WALL, 0.8955869907338783
24, 0, 7, Status.WALL, 0.8911090557802088
25, 0, 10, Status.WALL, 0.8866535105013078
26, 0, 8, Status.WALL, 0.8822202429488013
27, 0, 6, Status.WALL, 0.8778091417340573
28, 0, 10, Status.WALL, 0.8734200960253871
29, 0, 27, Status.WALL, 0.8690529955452602
30, 0, 10, Status.WALL, 0.8647077305675338
31, 0, 10, Status.WALL, 0.8603841919146962
32, 0, 8, Status.WALL, 0.8560822709551227
33, 0, 9, Status.WALL, 0.851801859600347
34, 0, 19, Status.WALL, 0.8475428503023453
35, 0, 8, Status.WALL, 0.8433051360508336
36, 0, 9, Status.WALL, 0.8390886103705794
37, 0, 7, Status.WALL, 0.8348931673187264
38, 0, 7, Status.WALL, 0.8307187014821328
39, 0, 10, Status.WALL, 0.8265651079747222
40, 0, 13, Status.WALL, 0.8224322824348486
41, 0, 8, Status.WALL, 0.8183201210226743
42, 0, 8, Status.WALL, 0.8142285204175609
43, 0, 18, Status.WALL, 0.810157377815473
44, 1, 5, Status.WALL, 0.8061065909263957
45, 0, 6, Status.WALL, 0.8020760579717637
46, 0, 5, Status.WALL, 0.798065677681905
47, 0, 5, Status.WALL, 0.7940753492934954
48, 0, 8, Status.WALL, 0.7901049725470279
49, 0, 18, Status.WALL, 0.7861544476842928
50, 1, 18, Status.SNAKE, 0.7822236754458713
51, 0, 7, Status.WALL, 0.778312557068642
52, 0, 18, Status.WALL, 0.7744209942832988
53, 1, 8, Status.WALL, 0.7705488893118823
54, 0, 5, Status.WALL, 0.7666961448653229
55, 0, 24, Status.WALL, 0.7628626641409962
56, 0, 10, Status.WALL, 0.7590483508202912
57, 1, 12, Status.WALL, 0.7552531090661897
58, 1, 60, Status.SNAKE, 0.7514768435208588
59, 0, 5, Status.WALL, 0.7477194593032545
60, 2, 20, Status.SNAKE, 0.7439808620067382
61, 0, 8, Status.WALL, 0.7402609576967045
62, 0, 28, Status.WALL, 0.736559652908221
63, 0, 7, Status.WALL, 0.7328768546436799
64, 1, 32, Status.WALL, 0.7292124703704616
65, 0, 20, Status.WALL, 0.7255664080186093
66, 1, 44, Status.WALL, 0.7219385759785162
67, 0, 21, Status.WALL, 0.7183288830986236
68, 0, 31, Status.WALL, 0.7147372386831305
69, 0, 6, Status.WALL, 0.7111635524897149
70, 1, 30, Status.WALL, 0.7076077347272662
71, 0, 13, Status.WALL, 0.7040696960536299
72, 0, 19, Status.WALL, 0.7005493475733617
73, 1, 13, Status.SNAKE, 0.697046600835495
74, 1, 37, Status.WALL, 0.6935613678313175
75, 2, 18, Status.SNAKE, 0.6900935609921609
76, 1, 12, Status.SNAKE, 0.6866430931872001
77, 0, 4, Status.WALL, 0.6832098777212641
78, 1, 11, Status.WALL, 0.6797938283326578
79, 1, 37, Status.SNAKE, 0.6763948591909945
80, 0, 20, Status.WALL, 0.6730128848950395
81, 0, 6, Status.WALL, 0.6696478204705644
82, 1, 60, Status.WALL, 0.6662995813682115
83, 1, 10, Status.SNAKE, 0.6629680834613705
84, 0, 60, Status.WALL, 0.6596532430440636
85, 0, 18, Status.WALL, 0.6563549768288433
86, 0, 5, Status.WALL, 0.653073201944699
87, 1, 12, Status.SNAKE, 0.6498078359349755
88, 0, 68, Status.WALL, 0.6465587967553006
89, 1, 7, Status.SNAKE, 0.6433260027715241
90, 0, 17, Status.WALL, 0.6401093727576664
91, 1, 3, Status.SNAKE, 0.6369088258938781
92, 1, 27, Status.SNAKE, 0.6337242817644086
93, 0, 9, Status.WALL, 0.6305556603555866
94, 1, 32, Status.WALL, 0.6274028820538087
95, 0, 21, Status.WALL, 0.6242658676435396
96, 1, 13, Status.WALL, 0.6211445383053219
97, 1, 12, Status.SNAKE, 0.6180388156137953
98, 0, 11, Status.WALL, 0.6149486215357263
99, 0, 12, Status.WALL, 0.6118738784280476
100, 0, 10, Status.WALL, 0.6088145090359074
101, 2, 27, Status.SNAKE, 0.6057704364907278
102, 2, 16, Status.SNAKE, 0.6027415843082742
103, 0, 9, Status.WALL, 0.5997278763867329
104, 1, 15, Status.SNAKE, 0.5967292370047992
105, 1, 12, Status.WALL, 0.5937455908197752
106, 2, 28, Status.WALL, 0.5907768628656763
107, 0, 6, Status.WALL, 0.5878229785513479
108, 2, 13, Status.WALL, 0.5848838636585911
109, 0, 5, Status.WALL, 0.5819594443402982
110, 0, 6, Status.WALL, 0.5790496471185967
111, 1, 26, Status.WALL, 0.5761543988830038
112, 2, 11, Status.SNAKE, 0.5732736268885887
113, 0, 23, Status.WALL, 0.5704072587541458
114, 0, 5, Status.WALL, 0.567555222460375
115, 1, 10, Status.SNAKE, 0.5647174463480732
116, 1, 20, Status.WALL, 0.5618938591163328
117, 2, 21, Status.SNAKE, 0.5590843898207511
118, 1, 35, Status.WALL, 0.5562889678716474
119, 1, 5, Status.WALL, 0.5535075230322891
120, 1, 10, Status.WALL, 0.5507399854171277
121, 1, 7, Status.SNAKE, 0.547986285490042
122, 0, 10, Status.WALL, 0.5452463540625918
123, 0, 10, Status.WALL, 0.5425201222922789
124, 1, 15, Status.SNAKE, 0.5398075216808175
125, 1, 9, Status.WALL, 0.5371084840724134
126, 1, 20, Status.WALL, 0.5344229416520513
127, 1, 13, Status.SNAKE, 0.531750826943791
128, 1, 22, Status.SNAKE, 0.5290920728090721
129, 2, 41, Status.WALL, 0.5264466124450268
130, 0, 27, Status.WALL, 0.5238143793828016
131, 1, 25, Status.WALL, 0.5211953074858876
132, 1, 8, Status.WALL, 0.5185893309484582
133, 1, 3, Status.SNAKE, 0.5159963842937159
134, 0, 22, Status.WALL, 0.5134164023722473
135, 0, 7, Status.WALL, 0.510849320360386
136, 1, 13, Status.WALL, 0.5082950737585841
137, 3, 31, Status.SNAKE, 0.5057535983897912
138, 1, 32, Status.WALL, 0.5032248303978422
139, 2, 14, Status.WALL, 0.500708706245853
140, 0, 11, Status.WALL, 0.4982051627146237
141, 1, 7, Status.WALL, 0.49571413690105054
142, 0, 39, Status.WALL, 0.4932355662165453
143, 0, 18, Status.WALL, 0.4907693883854626
144, 1, 27, Status.WALL, 0.4883155414435353
145, 1, 8, Status.WALL, 0.4858739637363176
146, 1, 20, Status.WALL, 0.483444593917636
147, 0, 11, Status.WALL, 0.4810273709480478
148, 1, 11, Status.SNAKE, 0.47862223409330756
149, 0, 5, Status.WALL, 0.47622912292284103
150, 1, 28, Status.SNAKE, 0.4738479773082268
151, 0, 10, Status.WALL, 0.47147873742168567
152, 1, 30, Status.SNAKE, 0.46912134373457726
153, 0, 13, Status.WALL, 0.46677573701590436
154, 1, 9, Status.SNAKE, 0.46444185833082485
155, 3, 29, Status.WALL, 0.46211964903917074
156, 1, 6, Status.WALL, 0.4598090507939749
157, 0, 5, Status.WALL, 0.457510005540005
158, 1, 19, Status.SNAKE, 0.45522245551230495
159, 1, 13, Status.WALL, 0.4529463432347434
160, 1, 22, Status.WALL, 0.4506816115185697
161, 0, 15, Status.WALL, 0.4484282034609769
162, 1, 7, Status.WALL, 0.446186062443672
163, 2, 21, Status.WALL, 0.4439551321314536
164, 0, 33, Status.WALL, 0.4417353564707963
165, 0, 14, Status.WALL, 0.43952667968844233
166, 2, 7, Status.WALL, 0.43732904629000013
167, 1, 25, Status.WALL, 0.4351424010585501
168, 0, 9, Status.WALL, 0.43296668905325736
169, 1, 52, Status.WALL, 0.43080185560799106
170, 3, 54, Status.SNAKE, 0.4286478463299511
171, 0, 8, Status.WALL, 0.42650460709830135
172, 1, 28, Status.SNAKE, 0.42437208406280985
173, 0, 6, Status.WALL, 0.4222502236424958
174, 1, 15, Status.WALL, 0.42013897252428334
175, 1, 7, Status.WALL, 0.4180382776616619
176, 0, 6, Status.WALL, 0.4159480862733536
177, 0, 18, Status.WALL, 0.41386834584198684
178, 1, 13, Status.SNAKE, 0.4117990041127769
179, 2, 28, Status.WALL, 0.40974000909221303
180, 1, 16, Status.SNAKE, 0.40769130904675194
181, 2, 9, Status.WALL, 0.40565285250151817
182, 0, 6, Status.WALL, 0.4036245882390106
183, 1, 11, Status.SNAKE, 0.4016064652978155
184, 1, 22, Status.SNAKE, 0.3995984329713264
185, 0, 6, Status.WALL, 0.3976004408064698
186, 1, 21, Status.WALL, 0.39561243860243744
187, 1, 15, Status.WALL, 0.3936343764094253
188, 1, 7, Status.WALL, 0.39166620452737816
189, 1, 30, Status.SNAKE, 0.3897078735047413
190, 0, 6, Status.WALL, 0.3877593341372176
191, 1, 3, Status.SNAKE, 0.3858205374665315
192, 1, 8, Status.SNAKE, 0.38389143477919885
193, 1, 6, Status.SNAKE, 0.3819719776053028
194, 2, 29, Status.SNAKE, 0.3800621177172763
195, 1, 9, Status.WALL, 0.37816180712868996
196, 1, 11, Status.WALL, 0.37627099809304654
197, 1, 25, Status.SNAKE, 0.3743896431025813
198, 4, 23, Status.SNAKE, 0.37251769488706843
199, 3, 32, Status.WALL, 0.3706551064126331
200, 1, 14, Status.WALL, 0.36880183088056995
201, 1, 8, Status.WALL, 0.3669578217261671
202, 0, 17, Status.WALL, 0.36512303261753626
203, 2, 22, Status.WALL, 0.3632974174544486
204, 2, 8, Status.SNAKE, 0.3614809303671764
205, 1, 6, Status.SNAKE, 0.3596735257153405
206, 1, 17, Status.SNAKE, 0.3578751580867638
207, 1, 26, Status.WALL, 0.35608578229633
208, 2, 10, Status.WALL, 0.3543053533848483
209, 1, 15, Status.SNAKE, 0.35253382661792404
210, 1, 9, Status.WALL, 0.3507711574848344
211, 0, 8, Status.WALL, 0.34901730169741024
212, 0, 14, Status.WALL, 0.3472722151889232
213, 6, 38, Status.SNAKE, 0.3455358541129786
214, 3, 17, Status.SNAKE, 0.3438081748424137
215, 0, 8, Status.WALL, 0.3420891339682016
216, 1, 16, Status.WALL, 0.3403786882983606
217, 4, 40, Status.SNAKE, 0.3386767948568688
218, 1, 17, Status.SNAKE, 0.33698341088258443
219, 2, 10, Status.WALL, 0.3352984938281715
220, 2, 18, Status.SNAKE, 0.33362200135903064
221, 0, 7, Status.WALL, 0.33195389135223546
222, 3, 26, Status.WALL, 0.3302941218954743
223, 4, 15, Status.SNAKE, 0.32864265128599696
224, 1, 14, Status.WALL, 0.326999438029567
225, 0, 13, Status.WALL, 0.3253644408394192
226, 1, 11, Status.WALL, 0.3237376186352221
227, 1, 38, Status.WALL, 0.322118930542046
228, 1, 34, Status.WALL, 0.32050833588933575
229, 4, 36, Status.SNAKE, 0.31890579420988907
230, 2, 22, Status.SNAKE, 0.3173112652388396
231, 1, 36, Status.SNAKE, 0.3157247089126454
232, 0, 11, Status.WALL, 0.3141460853680822
233, 4, 36, Status.WALL, 0.3125753549412418
234, 3, 14, Status.WALL, 0.31101247816653554
235, 1, 6, Status.WALL, 0.30945741577570285
236, 0, 6, Status.WALL, 0.3079101286968243
237, 1, 29, Status.SNAKE, 0.3063705780533402
238, 2, 20, Status.SNAKE, 0.30483872516307353
239, 2, 23, Status.WALL, 0.3033145315372582
240, 1, 16, Status.SNAKE, 0.3017979588795719
241, 1, 15, Status.SNAKE, 0.30028896908517405
242, 2, 15, Status.SNAKE, 0.2987875242397482
243, 0, 6, Status.WALL, 0.29729358661854943
244, 1, 3, Status.SNAKE, 0.29580711868545667
245, 0, 10, Status.WALL, 0.2943280830920294
246, 1, 7, Status.SNAKE, 0.29285644267656924
247, 1, 15, Status.WALL, 0.2913921604631864
248, 2, 39, Status.WALL, 0.28993519966087045
249, 1, 32, Status.WALL, 0.2884855236625661
250, 1, 6, Status.WALL, 0.28704309604425327
251, 3, 25, Status.WALL, 0.285607880564032
252, 2, 14, Status.SNAKE, 0.28417984116121187
253, 1, 15, Status.WALL, 0.2827589419554058
254, 1, 43, Status.SNAKE, 0.28134514724562876
255, 1, 5, Status.WALL, 0.2799384215094006
256, 1, 8, Status.WALL, 0.27853872940185365
257, 3, 59, Status.WALL, 0.27714603575484437
258, 0, 10, Status.WALL, 0.2757603055760701
259, 1, 14, Status.WALL, 0.2743815040481898
260, 0, 13, Status.WALL, 0.2730095965279488
261, 0, 6, Status.WALL, 0.27164454854530906
262, 2, 9, Status.WALL, 0.2702863258025825
263, 1, 17, Status.WALL, 0.2689348941735696
264, 0, 6, Status.WALL, 0.26759021970270175
265, 2, 31, Status.SNAKE, 0.2662522686041882
266, 4, 34, Status.SNAKE, 0.2649210072611673
267, 0, 11, Status.WALL, 0.26359640222486147
268, 0, 14, Status.WALL, 0.26227842021373715
269, 0, 11, Status.WALL, 0.2609670281126685
270, 2, 22, Status.SNAKE, 0.25966219297210513
271, 2, 24, Status.WALL, 0.2583638820072446
272, 3, 33, Status.SNAKE, 0.2570720625972084
