Episode,Score,Total Steps,Death
1,0,9,WALL
2,0,12,WALL
3,0,1,SNAKE
4,0,1,SNAKE
5,0,1,SNAKE
6,0,1,SNAKE
7,0,6,WALL
8,0,24,WALL
9,1,8,WALL
10,0,5,WALL
11,0,7,WALL
12,0,13,WALL
13,0,11,WALL
14,0,14,WALL
15,0,25,WALL
16,0,1,SNAKE
17,0,6,WALL
18,0,10,WALL
19,0,1,SNAKE
20,0,18,WALL
21,0,21,WALL
22,0,8,WALL
23,0,7,WALL
24,0,7,WALL
25,0,1,SNAKE
26,0,15,WALL
27,0,1,SNAKE
28,0,1,SNAKE
29,1,18,SNAKE
30,0,15,WALL
31,0,30,WALL
32,0,16,WALL
33,0,7,WALL
34,0,29,WALL
35,0,10,WALL
36,0,9,WALL
37,0,1,SNAKE
38,0,7,WALL
39,0,1,SNAKE
40,0,11,WALL
41,0,1,SNAKE
42,0,1,SNAKE
43,0,6,WALL
44,0,6,WALL
45,0,13,WALL
46,1,25,WALL
47,0,7,WALL
48,0,7,WALL
49,0,37,WALL
50,0,1,SNAKE
51,0,27,WALL
52,0,13,WALL
53,0,21,WALL
54,0,4,WALL
55,0,22,WALL
56,0,1,SNAKE
57,0,1,SNAKE
58,0,11,WALL
59,0,8,WALL
60,0,1,SNAKE
61,0,1,SNAKE
62,0,8,WALL
63,0,1,SNAKE
64,0,11,WALL
65,0,1,SNAKE
66,3,18,WALL
67,0,1,SNAKE
68,0,6,WALL
69,0,16,WALL
70,0,12,WALL
71,0,6,WALL
72,0,26,WALL
73,1,8,WALL
74,0,7,WALL
75,1,6,WALL
76,0,1,SNAKE
77,0,9,WALL
78,0,1,SNAKE
79,0,23,WALL
80,1,20,SNAKE
81,0,5,WALL
82,0,5,WALL
83,0,10,WALL
84,0,13,WALL
85,0,17,WALL
86,0,1,SNAKE
87,1,10,SNAKE
88,0,15,WALL
89,0,5,WALL
90,0,7,WALL
91,0,9,WALL
92,0,6,WALL
93,0,13,WALL
94,0,1,SNAKE
95,0,1,SNAKE
96,0,10,WALL
97,0,8,WALL
98,0,15,WALL
99,0,1,SNAKE
100,0,1,SNAKE
101,0,16,WALL
102,0,1,SNAKE
103,0,8,WALL
104,0,26,WALL
105,2,8,WALL
106,0,1,SNAKE
107,0,8,WALL
108,0,12,WALL
109,0,11,WALL
110,0,7,WALL
111,0,7,WALL
112,0,1,SNAKE
113,0,1,SNAKE
114,1,15,SNAKE
115,0,1,SNAKE
116,0,7,WALL
117,1,10,WALL
118,0,1,SNAKE
119,0,18,WALL
120,0,1,SNAKE
121,0,19,WALL
